Dataset_ID	Sample_ID	Platform_ID	specimen_type	c_clust
Normal.66	NORM66.001	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.002	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.003	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.004	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.005	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.006	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.007	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.008	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.009	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.010	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.011	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.012	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.013	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.014	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.015	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.016	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.017	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.018	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.019	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.020	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.021	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.022	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.023	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.024	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.025	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.026	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.027	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.028	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.029	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.030	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.031	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.032	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.033	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.034	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.035	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.036	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.037	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.038	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.039	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.040	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.041	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.042	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.043	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.044	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.045	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.046	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.047	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.048	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.049	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.050	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.051	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.052	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.053	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.054	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.055	Illumina HumanHT-12 V4.0 expression beadchip	Normal	15
Normal.66	NORM66.056	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.057	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.058	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.059	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.060	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.061	Illumina HumanHT-12 V4.0 expression beadchip	Normal	14
Normal.66	NORM66.062	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.063	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.064	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.065	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
Normal.66	NORM66.066	Illumina HumanHT-12 V4.0 expression beadchip	Normal	20
